    WinStart       WinEnd Samples_Number      Min      Max       Mean
        89.6        89.95       24       35      128    71.7083
       89.95         90.3       30       31       85    47.7667
        90.3        90.65       34       31       41         36
       90.65           91       27       31      111    52.3704
          91        91.35       13       34       98    66.2308
       91.35         91.7       17       34       89    59.2353
        91.7        92.05       13       33       63    40.5385
       92.05         92.4       10       53      134       92.1
        92.4        92.75       10       76      153      108.9
       92.75         93.1       11       31      134    76.6364
        93.1        93.45       22       31       78    37.6818
       93.45         93.8       23       31       41    36.2174
        93.8        94.15       19       31       89    42.8947
       94.15         94.5       12       56      111    80.0833
        94.5        94.85       13       61      111    75.2308
       94.85         95.2       15       33      127    63.6667
        95.2        95.55       14       34       79    54.5714
       95.55         95.9       18       34       88    56.3333
        95.9        96.25       18       46       95    62.8333
       96.25         96.6       12       48       71    58.6667
        96.6        96.95       13       33       91    56.8462
       96.95         97.3       22       34       77         53
        97.3        97.65       25       34       47      40.24
       97.65           98       25       34       47      40.76
          98        98.35       25       34       46      39.32
       98.35         98.7       26       34       45       39.5
        98.7        99.05       25       34       47       39.8
       99.05         99.4       25       26       47      39.92
        99.4        99.75       24       34       84    45.7083
       99.75        100.1       29       37       58    47.2069
       100.1       100.45       33       42       64         52
      100.45        100.8       32       32       74    58.4375
       100.8       101.15       36       30       54    41.7778
      101.15        101.5       36       38       55    45.3056
       101.5       101.85       41       30       99    56.0244
      101.85        102.2       31       30       76    47.8065
       102.2       102.55       12       85      165    123.167
      102.55        102.9       13       45      125    67.0769
       102.9       103.25       12       35       99    71.4167
      103.25        103.6       19       35       75         49
       103.6       103.95       15       35      102       61.8
      103.95        104.3       10       35      154       83.8
       104.3       104.65        9       99      139    116.778
      104.65          105        8       62      139        111
         105       105.35       16       39      159    66.5625
      105.35        105.7       10       84      119       98.8
       105.7       106.05       11       66      119    91.7273
      106.05        106.4       16       46       92       65.5
       106.4       106.75       11       46       80    55.5455
      106.75        107.1       23       33       56         41
       107.1       107.45       26       33       44       38.5
      107.45        107.8       26       33       44       38.5
       107.8       108.15       25       33       46      38.52
      108.15        108.5       25       33       45      39.24
       108.5       108.85       26       33       45         39
      108.85        109.2       18       33      113    57.7222
       109.2       109.55        8       68      181        133
      109.55        109.9        3       44      113         75
       109.9       110.25        0        0        0          0
      110.25        110.6        0        0        0          0
       110.6       110.95        7       42      114    72.1429
      110.95        111.3       33       35      111    69.5152
       111.3       111.65       37       45      130    71.3243
      111.65          112       37       45       45         45
         112       112.35       28       39       56    48.9286
      112.35        112.7        2       33       33         33
       112.7       113.05       22       33       88    57.8636
      113.05        113.4       32       43      108     71.375
       113.4       113.75       33       43       43         43
      113.75        114.1       30       43       67    45.3667
       114.1       114.45        6       37       79    66.6667
      114.45        114.8       17       37       84    60.9412
       114.8       115.15       31       29       87    50.6774
      115.15        115.5       49       29       48    36.5918
       115.5       115.85       43       29       98     49.093
      115.85        116.2       37       29       68    43.7838
       116.2       116.55       27       33       68    45.8148
      116.55        116.9       31       34       55    41.0968
       116.9       117.25       30       46       60    52.8667
      117.25        117.6       30       48       60         54
       117.6       117.95       31       48       60    54.1935
      117.95        118.3       36       28       65    38.1944
       118.3       118.65       27       34       66    49.8519
      118.65          119       25       28       59      38.92
         119       119.35       28       34       67    45.1429
      119.35        119.7       29       38       61    54.5172
       119.7       120.05       29       50       63    55.7586
      120.05        120.4       29       51       66    59.1034
       120.4       120.75       28       53       66       59.5
      120.75        121.1       27       30      109    56.7407
       121.1       121.45       41       30       39    34.6098
      121.45        121.8       41       30       39    34.3902
       121.8       122.15       40       30       47     35.725
      122.15        122.5       37       38       90    44.9189
       122.5       122.85       20       47      124       84.9
      122.85        123.2       13       47      139    72.8462
       123.2       123.55        9       42      219    141.556
      123.55        123.9       14       42       82    61.7143
       123.9       124.25       15       60      136    84.0667
      124.25        124.6       16       62       83       72.5
       124.6       124.95       17       62       83    71.8824
      124.95        125.3       10       62      179      108.9
       125.3       125.65        9      139      179    161.222
      125.65          126        9      139      179    156.778
         126       126.35       14       77      179    103.786
      126.35        126.7       14       77      102       89.5
       126.7       127.05       15       28      127    87.5333
      127.05        127.4       20       28       39       30.8
       127.4       127.75       28       28       39    31.2857
      127.75        128.1       35       28       57    32.9714
       128.1       128.45       31       28       60    40.6129
      128.45        128.8       30       33       48       42.1
       128.8       129.15       23       28       39    30.8696
      129.15        129.5        0        0        0          0
       129.5       129.85        1      654      654        654
      129.85        130.2        0        0        0          0
       130.2       130.55       29       30     1296    265.379
      130.55        130.9       25       30       87      55.84
       130.9       131.25       15       32       81    53.8667
      131.25        131.6       18       58       96    69.4444
       131.6       131.95       31       32       81     45.129
      131.95        132.3       36       35       48    40.8333
       132.3       132.65       37       35       45    40.1351
      132.65          133       37       35       45    39.8649
         133       133.35       32       35       56    48.9375
      133.35        133.7       32       45       56       50.5
       133.7       134.05       28       41       56    50.3571
      134.05        134.4       42       29       74    35.9762
       134.4       134.75       45       29       44       33.8
      134.75        135.1       44       30       63    39.7955
       135.1       135.45       32       30       63     48.375
      135.45        135.8       22       35      110    75.7273
       135.8       136.15       22       31       92    42.8182
      136.15        136.5       26       29       76    48.4615
       136.5       136.85       37       29       36    32.5946
      136.85        137.2       33       29       48    36.0303
       137.2       137.55       29       33       89    44.1379
      137.55        137.9       31       34       46    39.8065
       137.9       138.25       20       34      118       60.1
      138.25        138.6       10       33       95       59.8
       138.6       138.95       15       48       83    58.8667
      138.95        139.3       27       28       71    35.2963
       139.3       139.65       38       28       40    31.1579
      139.65          140       39       28       34    31.0769
         140       140.35       24       34       81    48.0833
      140.35        140.7       30       38       93    45.4333
       140.7       141.05       19       38      109    66.5789
      141.05        141.4       13       28       40    33.5385
       141.4       141.75       28       28       46    32.2857
      141.75        142.1       26       28       63    37.8846
       142.1       142.45       17       30       88    55.1765
      142.45        142.8       21       30       54    41.5238
       142.8       143.15       18       45       93    59.1667
      143.15        143.5       11       33       87    62.2727
       143.5       143.85       15       33       76    47.3333
      143.85        144.2       10       44      153       74.8
       144.2       144.55        5       62      190      133.8
      144.55        144.9        4       62      139      91.25
       144.9       145.25        7       62      179    115.714
      145.25        145.6        9      104      167    129.667
       145.6       145.95        9       83      146    120.333
      145.95        146.3        5      125      240      165.6
       146.3       146.65        3       91      171    133.667
      146.65          147        2      139      139        139
         147       147.35       20       30      195      56.35
      147.35        147.7       21       30       46    39.2857
       147.7       148.05       20       30       63       40.7
      148.05        148.4       10       81      137      102.9
       148.4       148.75       16       50      104      61.25
      148.75        149.1        9       50      144    90.4444
       149.1       149.45        4      139      233     185.75
      149.45        149.8        5       62      219      124.2
