    WinStart       WinEnd Samples_Number      Min      Max       Mean
       101.5       101.85       21       47       64    55.9048
      101.85        102.2       16       47      102       63.5
       102.2       102.55       13       35       85    57.6154
      102.55        102.9       14       35       99    63.1429
       102.9       103.25       12       53      112    80.6667
      103.25        103.6       13       35       75    54.2308
       103.6       103.95       13       61      116    80.8462
      103.95        104.3        6       61      219    135.667
       104.3       104.65        3       62       99    74.3333
      104.65          105        5       62      219      132.8
         105       105.35       10       66      209      119.6
      105.35        105.7        7       66      119    83.7143
       105.7       106.05        8       60      119         77
      106.05        106.4       15       46       94       59.2
       106.4       106.75       15       35       92    63.6667
      106.75        107.1       15       46       80       57.6
       107.1       107.45       17       38       72    56.2353
      107.45        107.8       15       35       91    64.2667
       107.8       108.15       12       46       85       57.5
      108.15        108.5       15       49       96    66.4667
       108.5       108.85       14       33       73    51.0714
      108.85        109.2       11       33      137    71.5455
       109.2       109.55        7       68      113    85.8571
      109.55        109.9        7       68      136         97
       109.9       110.25        9       58      113    77.1111
      110.25        110.6        9       58       78    69.1111
       110.6       110.95        9       58       78    66.8889
      110.95        111.3       13       31       78    43.3077
       111.3       111.65       12       31       41         36
      111.65          112       14       31       41         36
         112       112.35       14       33       78    49.9286
      112.35        112.7       16       45       89       61.5
       112.7       113.05       14       33       67    47.4286
      113.05        113.4       16       44       64      57.75
       113.4       113.75       16       64      107    77.6875
      113.75        114.1       15       64      105    77.6667
       114.1       114.45       11       40      124    87.6364
      114.45        114.8       10       54      102       72.2
       114.8       115.15       17       34      108    67.7059
      115.15        115.5       24       29       50      38.75
       115.5       115.85       26       34       41       37.5
      115.85        116.2       20       34       90      48.85
       116.2       116.55       18       33       68       48.5
      116.55        116.9       16       34       79      52.75
       116.9       117.25       15       46       92    66.6667
      117.25        117.6       15       33       57       39.4
       117.6       117.95       20       33       57      41.05
      117.95        118.3       28       28       80    35.2143
       118.3       118.65       29       28       34    30.8966
      118.65          119       28       28       34         31
         119       119.35       25       34       46      39.32
      119.35        119.7       25       34       45      39.28
       119.7       120.05       26       34       47    39.6154
      120.05        120.4       23       34       66    42.4783
       120.4       120.75       13       47      135    83.5385
      120.75        121.1       10       30      103       50.7
       121.1       121.45       22       30       47    37.8182
      121.45        121.8       21       46       79    55.4286
       121.8       122.15       20       30       88      60.85
