    WinStart       WinEnd Samples_Number      Min      Max       Mean
        88.9        89.25       17       30      124    64.4118
       89.25         89.6       12       48       85    68.9167
        89.6        89.95       16       41       71      53.75
       89.95         90.3       19       47       94    61.9474
        90.3        90.65       17       32       98    59.3529
       90.65           91       18       54       64         59
          91        91.35       16       45       89       65.5
       91.35         91.7       13       34       67    50.0769
        91.7        92.05       15       45       89    60.9333
       92.05         92.4        9       41      134    109.111
        92.4        92.75        8       68      134       88.5
       92.75         93.1       12       64      134    101.167
        93.1        93.45       20       44       63       54.7
       93.45         93.8       20       32       73      58.55
        93.8        94.15       24       31       69      41.75
       94.15         94.5       18       38      104       57.5
        94.5        94.85       22       45       61         53
       94.85         95.2       24       33       61    45.0417
        95.2        95.55       25       33       44      38.28
       95.55         95.9       30       33       55    40.5333
        95.9        96.25       30       34       60    49.0333
       96.25         96.6       29       33       71    52.8276
        96.6        96.95       26       33       91    46.5385
       96.95         97.3       28       48       67    58.7143
        97.3        97.65       26       34       80    57.8462
       97.65           98       28       42       60    48.3929
          98        98.35       29       50       67    56.5517
       98.35         98.7       29       34       73    53.5172
        98.7        99.05       28       34       63    44.7143
       99.05         99.4       24       34      109    62.5833
        99.4        99.75       28       34       78    56.9643
       99.75        100.1       28       32       59    45.0714
       100.1       100.45       33       42       64    48.1212
      100.45        100.8       33       53       64    58.3333
       100.8       101.15       31       30       64    55.0645
      101.15        101.5       41       38       90    45.3659
       101.5       101.85       41       38       47    42.3902
      101.85        102.2       33       38       85    52.8485
       102.2       102.55       25       35       72      50.12
      102.55        102.9       26       45       72    57.1923
       102.9       103.25       26       59       88    69.8846
      103.25        103.6       25       35       75      51.24
       103.6       103.95       23       35      104    63.4348
      103.95        104.3       12       61      219    120.333
       104.3       104.65        3      179      219    192.333
      104.65          105        4       62      139      100.5
         105       105.35        9       39      119         71
      105.35        105.7        7       66      154    111.429
       105.7       106.05        8       66      119     82.125
      106.05        106.4       20       33       69      46.05
       106.4       106.75       16       33       92    63.6875
      106.75        107.1       12       46       69    55.6667
       107.1       107.45       17       33       80    53.8824
      107.45        107.8       22       35       69    49.3182
       107.8       108.15       15       33      141    66.1333
      108.15        108.5       14       33       73    52.2143
       108.5       108.85       16       33       85         50
      108.85        109.2       11       49      158    90.0909
       109.2       109.55        3       44      113         75
      109.55        109.9        0        0        0          0
       109.9       110.25        0        0        0          0
      110.25        110.6        8       42       81       56.5
       110.6       110.95       10       78      197      129.1
      110.95        111.3       15       31      157    57.8667
       111.3       111.65       17       45      101    68.0588
      111.65          112       17       31       54    40.4706
         112       112.35       16       45       89    61.5625
      112.35        112.7       14       33       67    49.2143
       112.7       113.05       17       33       78    53.8235
      113.05        113.4       17       41       86    65.9412
       113.4       113.75       16       64       86         75
      113.75        114.1       15       64       95    76.1333
       114.1       114.45       11       40      133    94.6364
      114.45        114.8       16       37       84    51.5625
       114.8       115.15       24       29       68    40.9583
      115.15        115.5       28       29       36       32.5
       115.5       115.85       28       29       36       32.5
      115.85        116.2       25       29       47      35.64
       116.2       116.55       26       33       44       38.5
      116.55        116.9       26       33       44       38.5
       116.9       117.25       25       33       45      39.08
      117.25        117.6       26       33       45         39
       117.6       117.95       26       33       91    45.8846
      117.95        118.3       41       28       48    33.3415
       118.3       118.65       53       28       40    31.6604
      118.65          119       57       28       52    40.6316
         119       119.35       30       38      121    69.4667
      119.35        119.7       30       37       38    37.8667
       119.7       120.05        1       36       36         36
      120.05        120.4        2       34       34         34
       120.4       120.75       22       34       91    58.2273
      120.75        121.1       30       30      128    81.4333
       121.1       121.45       33       30       30         30
      121.45        121.8       34       30       30         30
       121.8       122.15        7       30       39    31.7143
      122.15        122.5       18       41      107    76.7778
       122.5       122.85       19       47       98    60.2632
      122.85        123.2       18       38      184    75.2778
       123.2       123.55        7       42      179    97.4286
      123.55        123.9        8       42      139       80.5
       123.9       124.25        7       79      141    100.429
      124.25        124.6        3       83       83         83
       124.6       124.95        7       83      146        101
      124.95        125.3        5       43      243      121.6
       125.3       125.65        5      139      219        171
      125.65          126        3       62       62         62
         126       126.35        7       77      216    127.571
      126.35        126.7        7       46      176    108.143
       126.7       127.05        8       40      121     58.375
      127.05        127.4       19       28       39    32.6842
       127.4       127.75       26       28       33       30.5
      127.75        128.1       26       28       33       30.5
       128.1       128.45       24       28       33       30.5
      128.45        128.8       28       28       33       30.5
       128.8       129.15       14       28       33       30.5
      129.15        129.5        0        0        0          0
       129.5       129.85        1      654      654        654
      129.85        130.2        0        0        0          0
       130.2       130.55       15       30     1287    225.667
      130.55        130.9       21       30       47     34.619
       130.9       131.25       24       26       68       38.5
      131.25        131.6       25       32       42       37.2
       131.6       131.95       28       32       42         37
      131.95        132.3       26       31       42    36.1538
       132.3       132.65       26       31       41         36
      132.65          133       27       31       41    35.8148
         133       133.35       25       33       46      38.76
      133.35        133.7       25       33       77      41.56
       133.7       134.05       31       29       55    39.8065
      134.05        134.4       42       29       44    34.7381
       134.4       134.75       48       30       53    40.5625
      134.75        135.1       42       29       54     40.119
       135.1       135.45       37       44       63    51.7027
      135.45        135.8       28       31       78      42.25
       135.8       136.15       37       29       43    34.9189
      136.15        136.5       42       29       36       32.5
       136.5       136.85       41       29       36    32.5854
      136.85        137.2       33       29       57    37.8485
       137.2       137.55       19       44      113    83.9474
      137.55        137.9       14       33       90    54.2857
       137.9       138.25       15       33       91    64.1333
      138.25        138.6       18       33       60    43.8333
       138.6       138.95       16       34       91     59.125
      138.95        139.3       23       28       71    36.5217
       139.3       139.65       25       28       34      30.88
      139.65          140       25       28       46      32.08
         140       140.35       13       22      116    65.0769
      140.35        140.7       18       38       73       48.5
       140.7       141.05       17       33       85    55.1176
      141.05        141.4       26       28       46    31.8846
       141.4       141.75       30       28       46    34.1333
      141.75        142.1       31       33       74    44.5806
       142.1       142.45       20       37      105       62.7
      142.45        142.8       21       46       79    61.4286
       142.8       143.15       13       30       76    42.9231
      143.15        143.5       18       33       65    52.0556
       143.5       143.85       20       33       98      54.35
      143.85        144.2       17       33      139    54.2941
       144.2       144.55        9      139      179    161.222
      144.55        144.9        9      139      179    156.778
       144.9       145.25       12       62      179    111.083
      145.25        145.6        8      104      146     130.25
       145.6       145.95        4       43       83         58
      145.95        146.3        5       63      240      146.4
       146.3       146.65        4      139      219        179
      146.65          147        4       62      139      81.25
         147       147.35       12       30      107    42.5833
      147.35        147.7       14       30       38         34
       147.7       148.05       13       30       40    34.4615
      148.05        148.4       11       40       58    49.8182
       148.4       148.75       12       40       58         49
      148.75        149.1       10       40      102       55.6
       149.1       149.45        8       62      102         82
      149.45        149.8        9       62      102    79.7778
