    WinStart       WinEnd Samples_Number      Min      Max       Mean
        92.4        92.75        8       76       95       85.5
       92.75         93.1        9       31       95    69.8889
        93.1        93.45       11       31       53    44.4545
       93.45         93.8       12       41       50       45.5
        93.8        94.15        9       41       64         49
       94.15         94.5        9       45      111    72.2222
        94.5        94.85        9       61       78    68.5556
       94.85         95.2        9       44       78    61.3333
        95.2        95.55       18       33       79    50.4444
       95.55         95.9       13       34       90    62.4615
        95.9        96.25       13       46       82    56.9231
       96.25         96.6       18       36       71    57.6667
        96.6        96.95       16       36       95    66.8125
       96.95         97.3        6       48       67    54.8333
        97.3        97.65        0        0        0          0
       97.65           98        0        0        0          0
          98        98.35        0        0        0          0
       98.35         98.7        0        0        0          0
        98.7        99.05        0        0        0          0
       99.05         99.4        0        0        0          0
        99.4        99.75        0        0        0          0
       99.75        100.1        0        0        0          0
       100.1       100.45        0        0        0          0
      100.45        100.8        0        0        0          0
       100.8       101.15        0        0        0          0
      101.15        101.5        0        0        0          0
       101.5       101.85        0        0        0          0
      101.85        102.2        0        0        0          0
       102.2       102.55       14       52      139    97.6429
      102.55        102.9       13       45      125    65.9231
       102.9       103.25       12       35      113    77.6667
      103.25        103.6        7       47       77    60.1429
       103.6       103.95        9       61      102         76
      103.95        104.3        0        0        0          0
       104.3       104.65        0        0        0          0
      104.65          105        0        0        0          0
         105       105.35        1       59       59         59
      105.35        105.7       10       84      164        115
       105.7       106.05       10       60      119       85.4
      106.05        106.4       15       46       94       59.2
       106.4       106.75       20       46       92      59.75
      106.75        107.1        0        0        0          0
       107.1       107.45        0        0        0          0
      107.45        107.8        0        0        0          0
       107.8       108.15        0        0        0          0
      108.15        108.5        0        0        0          0
       108.5       108.85        0        0        0          0
      108.85        109.2        0        0        0          0
       109.2       109.55        7       89      201    134.429
      109.55        109.9        6       44      113         67
       109.9       110.25       15       42       89       56.4
      110.25        110.6       17       42       81    65.8235
       110.6       110.95       10       58      117       87.2
      110.95        111.3        0        0        0          0
       111.3       111.65        0        0        0          0
      111.65          112        0        0        0          0
         112       112.35        0        0        0          0
      112.35        112.7        0        0        0          0
       112.7       113.05        0        0        0          0
      113.05        113.4        0        0        0          0
       113.4       113.75        0        0        0          0
      113.75        114.1        0        0        0          0
       114.1       114.45        0        0        0          0
      114.45        114.8        0        0        0          0
       114.8       115.15        0        0        0          0
      115.15        115.5        0        0        0          0
       115.5       115.85        0        0        0          0
      115.85        116.2        0        0        0          0
       116.2       116.55        0        0        0          0
      116.55        116.9        0        0        0          0
       116.9       117.25        0        0        0          0
      117.25        117.6        0        0        0          0
       117.6       117.95        0        0        0          0
      117.95        118.3        3       28       40         34
       118.3       118.65       30       34      114    77.4667
      118.65          119       23       40       77    54.6957
         119       119.35        0        0        0          0
      119.35        119.7        0        0        0          0
       119.7       120.05        0        0        0          0
      120.05        120.4        0        0        0          0
       120.4       120.75        0        0        0          0
      120.75        121.1        0        0        0          0
       121.1       121.45        0        0        0          0
      121.45        121.8        0        0        0          0
       121.8       122.15        0        0        0          0
      122.15        122.5        4       45       88       64.5
       122.5       122.85       21       47      156    107.381
      122.85        123.2       16       44      119    84.9375
       123.2       123.55        8       42      139    111.875
      123.55        123.9        3       42       82    67.6667
       123.9       124.25        3       79      135    104.333
      124.25        124.6        0        0        0          0
       124.6       124.95        0        0        0          0
      124.95        125.3        0        0        0          0
       125.3       125.65        0        0        0          0
      125.65          126        0        0        0          0
         126       126.35        0        0        0          0
      126.35        126.7        0        0        0          0
       126.7       127.05        0        0        0          0
      127.05        127.4        0        0        0          0
       127.4       127.75        0        0        0          0
      127.75        128.1        0        0        0          0
       128.1       128.45       29       28      106         64
      128.45        128.8       30       33      106       46.2
       128.8       129.15        0        0        0          0
      129.15        129.5        0        0        0          0
       129.5       129.85        0        0        0          0
      129.85        130.2        0        0        0          0
       130.2       130.55        2       30      921      475.5
      130.55        130.9       16       35       96     65.125
       130.9       131.25       21       30       79     49.619
      131.25        131.6       17       58       98    75.5294
       131.6       131.95        0        0        0          0
      131.95        132.3        0        0        0          0
       132.3       132.65        0        0        0          0
      132.65          133        0        0        0          0
         133       133.35        0        0        0          0
      133.35        133.7        0        0        0          0
       133.7       134.05        0        0        0          0
      134.05        134.4        0        0        0          0
       134.4       134.75        0        0        0          0
      134.75        135.1        0        0        0          0
       135.1       135.45        0        0        0          0
      135.45        135.8       15       38      132       90.4
       135.8       136.15       19       31       92    42.8421
      136.15        136.5       22       41       76    53.9545
       136.5       136.85        0        0        0          0
      136.85        137.2        0        0        0          0
       137.2       137.55        0        0        0          0
      137.55        137.9        0        0        0          0
       137.9       138.25       10       35      175      115.7
      138.25        138.6       17       33      141    63.7059
       138.6       138.95       16       36      118    81.5625
      138.95        139.3       12       27       48    33.6667
       139.3       139.65        0        0        0          0
      139.65          140        0        0        0          0
         140       140.35        0        0        0          0
      140.35        140.7        0        0        0          0
       140.7       141.05       12       50      135    75.4167
      141.05        141.4       20       28       40       31.3
       141.4       141.75       24       26       40    32.0833
      141.75        142.1       25       28       70      36.52
       142.1       142.45       24       30       71    47.3333
      142.45        142.8       19       30       65    45.5263
       142.8       143.15       20       46       87       55.9
      143.15        143.5       15       33       65    49.2667
       143.5       143.85       14       29       95    52.2857
      143.85        144.2       10       44      182       80.6
       144.2       144.55        4      139      219        159
      144.55        144.9        4       62      142         92
       144.9       145.25        7       83      179    124.571
      145.25        145.6        8       83      146     119.75
       145.6       145.95        8      104      187    140.625
      145.95        146.3        5       83      179      121.4
       146.3       146.65        6       99      251    164.333
      146.65          147        6      139      259        179
         147       147.35       12       30      227    60.1667
      147.35        147.7       22       35       54    41.5909
       147.7       148.05       18       40       83    50.2222
      148.05        148.4        9       67      122    101.667
       148.4       148.75        4       68       68         68
      148.75        149.1        8       68      148         96
       149.1       149.45        4      139      255        197
      149.45        149.8        4       62      219     139.75
