    WinStart       WinEnd Samples_Number      Min      Max       Mean
          91        91.35       16       45       67      55.75
       91.35         91.7       18       34       78    45.6111
        91.7        92.05       15       45       67    55.2667
       92.05         92.4        9       49      134         97
        92.4        92.75       10       68      153      110.5
       92.75         93.1       11       35      153    90.9091
        93.1        93.45       17       44       73    49.8235
       93.45         93.8       17       44       73    57.6471
        93.8        94.15        0        0        0          0
       94.15         94.5        0        0        0          0
        94.5        94.85        0        0        0          0
       94.85         95.2        0        0        0          0
        95.2        95.55        0        0        0          0
       95.55         95.9        0        0        0          0
        95.9        96.25        0        0        0          0
       96.25         96.6        0        0        0          0
        96.6        96.95        0        0        0          0
       96.95         97.3        0        0        0          0
        97.3        97.65        0        0        0          0
       97.65           98        0        0        0          0
          98        98.35        0        0        0          0
       98.35         98.7        0        0        0          0
        98.7        99.05        0        0        0          0
       99.05         99.4        0        0        0          0
        99.4        99.75        0        0        0          0
       99.75        100.1        0        0        0          0
       100.1       100.45        0        0        0          0
      100.45        100.8        0        0        0          0
       100.8       101.15        0        0        0          0
      101.15        101.5        0        0        0          0
       101.5       101.85        0        0        0          0
      101.85        102.2        0        0        0          0
       102.2       102.55        0        0        0          0
      102.55        102.9        0        0        0          0
       102.9       103.25        0        0        0          0
      103.25        103.6        0        0        0          0
       103.6       103.95        0        0        0          0
      103.95        104.3        0        0        0          0
       104.3       104.65        5      139      302      205.2
      104.65          105        5       62      219      171.6
         105       105.35       10       39      119       68.1
      105.35        105.7       13       66      119    91.8462
       105.7       106.05       13       66      154    100.692
      106.05        106.4        9       44       93    64.7778
       106.4       106.75       14       46       92         60
      106.75        107.1       19       46       92    64.1053
       107.1       107.45       13       33      125    79.7692
      107.45        107.8        9       35       80    49.7778
       107.8       108.15       15       33      104    64.0667
      108.15        108.5       13       33       73    54.5385
       108.5       108.85       13       33       85    54.8462
      108.85        109.2       11       49      148    77.7273
       109.2       109.55        3       68      113    96.6667
      109.55        109.9        0        0        0          0
       109.9       110.25        1       42       42         42
      110.25        110.6        3       42       73         56
       110.6       110.95        8       78      137    102.375
      110.95        111.3       17       41      157    77.8824
       111.3       111.65       20       45       92       62.7
      111.65          112       14       28       67    41.7143
         112       112.35       16       45       89    63.0625
      112.35        112.7       14       33       67    50.7857
       112.7       113.05       15       44       78    56.4667
      113.05        113.4       16       32      108    67.0625
       113.4       113.75       16       64       86         75
      113.75        114.1       15       64      110    78.6667
       114.1       114.45       12       40      129    84.5833
      114.45        114.8        1       36       36         36
       114.8       115.15        0        0        0          0
      115.15        115.5        0        0        0          0
       115.5       115.85        0        0        0          0
      115.85        116.2        0        0        0          0
       116.2       116.55        0        0        0          0
      116.55        116.9        0        0        0          0
       116.9       117.25        0        0        0          0
      117.25        117.6        0        0        0          0
       117.6       117.95        0        0        0          0
      117.95        118.3        0        0        0          0
       118.3       118.65        0        0        0          0
      118.65          119        0        0        0          0
         119       119.35        0        0        0          0
      119.35        119.7        0        0        0          0
       119.7       120.05        0        0        0          0
      120.05        120.4        0        0        0          0
       120.4       120.75        0        0        0          0
      120.75        121.1        0        0        0          0
       121.1       121.45        0        0        0          0
      121.45        121.8        0        0        0          0
       121.8       122.15        6       30       47    38.6667
